"Reference","Quantity","Value","Footprint","Manufacturer","MPN"
"C1 C11 C13 C15 C17 C18 C21","7","C_10u_25V_0603","C_0603_1608Metric","TDK","C1608X5R1E106M080AC"
"C2","1","C_220n_0402","C_0402_1005Metric","YAGEO","CC0402KRX5R6BB224"
"C3 C4","2","C_22u_0402","C_0402_1005Metric","Murata","GRM158R60J226ME01D"
"C5 C6 C7 C8 C9 C10 C12 C14 C16 C19 C20 C22 C23 C24","14","C_100n_0402","C_0402_1005Metric","Murata","GRM155R61H104KE14D"
"D1 D2 D3 D4 D5 D6","6","LED_G_0603_LTST-C190GKT","LED_0603_1608Metric_G","Lite-On","LTST-C190GKT"
"D7 D8","2","ESD9X5.0ST5G","SOD-923","ON Semiconductor","ESD9X5.0ST5G"
"H1 H2 H3 H4 H5 H6","6","Spacer_Drill3.7mm_H6mm_9774060151R","Spacer_Drill3.7mm_H6mm_9774060151R","Würth Elektronik","9774060151R"
"J1 J2 J3","3","Conn_FFC_WE_68715014022","Conn_FFC_WE_68715014x22","Würth Elektronik","68715014022"
"J4 J5","2","JST_SH_1x4_SM04B-SRSS-TB-LF-SN","Conn_JST_SH_1x4_SM04B-SRSS-TB-LF-SN","JST Automotive Connectors","SM04B-SRSS-TB(LF)(SN)"
"L1","1","L_3u3_3.1A_Bourns-SRP3212A","L_Bourns-SRP3212A","Bourns","SRP3212-3R3M"
"N1","1","antmicro_logo","antmicro-logo_scaled_12mm",,
"N2","1","oshw_logo","oshw-logo",,
"R1 R3 R41","3","R_470R_0402","R_0402_1005Metric","Bourns","CR0402-FX-4700GLF"
"R2 R4 R42","3","R_200R_0402","R_0402_1005Metric","Bourns","CR0402-FX-2000GLF"
"R6 R16 R28 R29 R38 R39 R45","7","R_0R_0402","R_0402_1005Metric","Panasonic","ERJ2GE0R00X"
"R22","1","R_31k6_0402","R_0402_1005Metric","Bourns","CR0402-FX-3162GLF"
"R23 R47 R48","3","R_10k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1002GLF"
"R40","1","R_0R_22.4A_0603","R_0603_1608Metric","ROHM Semiconductor","PMR03EZPJ000"
"R43 R44","2","R_12k_0402","R_0402_1005Metric","Bourns","CR0402-FX-1202GLF"
"U1 U2","2","TPS2117DRLR","SOT-583","Texas Instruments","TPS2117DRLR"
"U3","1","AP62301_TSOT","TSOT23-6","Diodes Incorporated","AP62301WU-7"
"spacer",4,,,"DREMEC","181RDX20"
